Created from SDDS file: FLASH_S2E.flo
floor coordinates--input: FLASH_S2E.ele  lattice: FLASH_2012_1200MeV_igor.lte	
floor coordinates	

Table 1
s	ds	X	Y	Z	theta	phi	psi	ElementName	ElementOccurence	ElementType	
0	0	0	0	0	0	0	0	_BEG_	1	MARK	
0	0	0	0	0	0	0	0	Q	1	CHARGE	
0	0	0	0	0	0	0	0	W1	1	WATCH	
0	0	0	0	0	0	0	0	D03378LSC	1	LSCDRIFT	
0	0	0	0	0	0	0	0	STARTRFACC39	1	MARK	
0.3378	0.3378	0	0	0.3378	0	0	0	D03378	1	DRIF	
0.417905	0.080105	0	0	0.417905	0	0	0	DACC39	1	DRIF	
0.763805	0.3459	0	0	0.763805	0	0	0	C1.ACC39	1	RFCA	
0.84391	0.080105	0	0	0.84391	0	0	0	DACC39	2	DRIF	
0.84391	0	0	0	0.84391	0	0	0	D06079LSC	1	LSCDRIFT	
0.94566	0.10175	0	0	0.94566	0	0	0	D010175	1	DRIF	
1.025765	0.080105	0	0	1.025765	0	0	0	DACC39	3	DRIF	
1.371665	0.3459	0	0	1.371665	0	0	0	C2.ACC39	1	RFCA	
1.45177	0.080105	0	0	1.45177	0	0	0	DACC39	4	DRIF	
1.45177	0	0	0	1.45177	0	0	0	D06079LSC	2	LSCDRIFT	
1.55352	0.10175	0	0	1.55352	0	0	0	D010175	2	DRIF	
1.633625	0.080105	0	0	1.633625	0	0	0	DACC39	5	DRIF	
1.979525	0.3459	0	0	1.979525	0	0	0	C3.ACC39	1	RFCA	
2.05963	0.080105	0	0	2.05963	0	0	0	DACC39	6	DRIF	
2.05963	0	0	0	2.05963	0	0	0	D06079LSC	3	LSCDRIFT	
2.16138	0.10175	0	0	2.16138	0	0	0	D010175	3	DRIF	
2.241485	0.080105	0	0	2.241485	0	0	0	DACC39	7	DRIF	
2.587385	0.3459	0	0	2.587385	0	0	0	C4.ACC39	1	RFCA	
2.66749	0.080105	0	0	2.66749	0	0	0	DACC39	8	DRIF	
2.66749	0	0	0	2.66749	0	0	0	D06079LSC	4	LSCDRIFT	
2.66749	0	0	0	2.66749	0	0	0	ENDRFACC39	1	MARK	
2.74749	0.08	0	0	2.74749	0	0	0	D0080	1	DRIF	
4.3008	1.55331	0	0	4.3008	0	0	0	D155331	1	DRIF	
4.7798	0.479	0	0	4.7798	0	0	0	D04790	1	DRIF	
4.7798	0	0	0	4.7798	0	0	0	D38014LSC	1	LSCDRIFT	
4.7798	0	0	0	4.7798	0	0	0	STARTBC2	1	MARK	
4.7798	0	0	0	4.7798	0	0	0	STARTUBC2	1	MARK	
4.9098	0.13	0	0	4.9098	0	0	0	D01230T	1	DRIF	
4.9498	0.04	0	0	4.9498	0	0	0	PHA1UBC2	1	DRIF	
5.0433	0.0935	0	0	5.0433	0	0	0	D0115T	1	DRIF	
5.1363	0.093	0	0	5.1363	0	0	0	Q1.1UBC2	1	QUAD	
5.1493	0.013	0	0	5.1493	0	0	0	D0050T	1	DRIF	
5.2803	0.131	0	0	5.2803	0	0	0	Q1.2UBC2	1	QUAD	
5.2933	0.013	0	0	5.2933	0	0	0	D0050T	2	DRIF	
5.3863	0.093	0	0	5.3863	0	0	0	Q1.3UBC2	1	QUAD	
5.4398	0.0535	0	0	5.4398	0	0	0	D0075T	1	DRIF	
5.4538	0.014	0	0	5.4538	0	0	0	D0014	1	DRIF	
5.5538	0.1	0	0	5.5538	0	0	0	V1UBC2	1	VKICK	
5.6378	0.084	0	0	5.6378	0	0	0	D0084	1	DRIF	
5.7378	0.1	0	0	5.7378	0	0	0	H1UBC2	1	HKICK	
5.7908	0.053	0	0	5.7908	0	0	0	D0053	1	DRIF	
